"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2016","16,300","16,600","16,600","16,280","11.81K","-1.39%"
"Jan 24, 2016","16,530","16,620","16,630","16,330","4.34K","-0.60%"
"Jan 17, 2016","16,630","16,380","16,680","16,380","7.88K","1.65%"
"Jan 10, 2016","16,360","16,230","16,380","16,050","10.48K","0.93%"
"Jan 03, 2016","16,210","16,620","16,700","16,190","13.18K","-2.70%"
"Dec 27, 2015","16,660","16,370","16,710","16,250","4.73K","2.97%"
"Dec 20, 2015","16,180","16,280","16,510","16,080","4.60K","-0.31%"
"Dec 13, 2015","16,230","16,240","16,440","16,170","7.18K","0.31%"
"Dec 06, 2015","16,180","16,170","16,360","16,070","4.69K","-0.06%"
"Nov 29, 2015","16,190","16,100","16,220","15,900","5.61K","0.56%"
"Nov 22, 2015","16,100","15,830","16,120","15,750","1.97K","1.83%"
"Nov 15, 2015","15,810","15,550","16,070","15,540","4.01K","1.67%"
"Nov 08, 2015","15,550","15,800","15,830","15,530","2.43K","-1.71%"
"Nov 01, 2015","15,820","15,900","15,940","15,730","2.65K","2.00%"
"Oct 25, 2015","15,510","16,050","16,110","15,350","1.09K","-3.30%"
"Oct 18, 2015","16,040","15,810","16,270","15,810","1.71K","-0.43%"
"Oct 11, 2015","16,110","16,030","16,420","16,030","3.19K","1.00%"
"Oct 04, 2015","15,950","15,750","16,090","15,680","4.24K","1.72%"
"Sep 27, 2015","15,680","15,700","16,270","15,630","2.69K","-0.57%"
"Sep 20, 2015","15,770","15,850","15,920","15,680","1.74K","-0.94%"
"Sep 13, 2015","15,920","16,150","16,250","15,900","2.17K","-1.30%"
"Sep 06, 2015","16,130","16,550","16,590","16,100","2.54K","-2.24%"
"Aug 30, 2015","16,500","16,330","16,570","16,280","3.29K","1.41%"
"Aug 23, 2015","16,270","16,360","16,470","16,050","2.55K","-1.27%"
"Aug 16, 2015","16,480","16,340","16,610","16,240","3.98K","0.55%"
"Aug 09, 2015","16,390","15,820","16,440","15,660","4.17K","3.47%"
"Aug 02, 2015","15,840","16,050","16,150","15,770","2.18K","7.76%"
"Jul 26, 2015","14,700","15,550","15,550","14,360","3.21K","-5.77%"
"Jul 19, 2015","15,600","15,880","15,910","15,570","3.62K","-1.83%"
"Jul 12, 2015","15,890","15,830","15,990","15,800","2.44K","0.44%"
"Jul 05, 2015","15,820","16,220","16,220","15,720","4.30K","-2.04%"
"Jun 28, 2015","16,150","15,900","16,300","15,710","4.26K","1.96%"
"Jun 21, 2015","15,840","15,780","15,870","15,450","6.85K","0.44%"
"Jun 14, 2015","15,770","16,080","16,120","15,750","5.76K","-2.11%"
"Jun 07, 2015","16,110","16,320","16,410","15,950","5.61K","-0.80%"
"May 31, 2015","16,240","16,370","16,580","16,210","8.53K","1.25%"
"May 24, 2015","16,040","15,710","16,180","15,430","8.07K","1.78%"
"May 17, 2015","15,760","16,560","16,560","15,740","7.75K","-4.37%"
"May 10, 2015","16,480","16,640","16,690","16,280","9.06K","-0.42%"
"May 03, 2015","16,550","16,630","16,890","16,370","9.01K","-0.06%"
"Apr 26, 2015","16,560","16,140","16,850","16,020","6.84K","2.92%"
"Apr 19, 2015","16,090","15,350","16,100","15,350","8.33K","4.89%"
"Apr 12, 2015","15,340","15,800","15,950","15,280","9.83K","-3.22%"
"Apr 05, 2015","15,850","15,670","16,220","15,670","13.46K","2.13%"
"Mar 29, 2015","15,520","15,350","15,580","15,170","4.03K","1.57%"
"Mar 22, 2015","15,280","14,890","15,350","14,840","9.25K","2.69%"
"Mar 15, 2015","14,880","14,980","15,060","14,670","6.21K","-0.40%"
"Mar 08, 2015","14,940","14,890","15,040","14,720","5.77K","0.34%"
"Mar 01, 2015","14,890","15,170","15,280","14,850","6.22K","-0.73%"
"Feb 22, 2015","15,000","14,920","15,520","14,820","5.41K","0.00%"
"Feb 15, 2015","15,000","14,860","15,270","14,650","7.16K","1.01%"
"Feb 08, 2015","14,850","14,640","14,940","14,590","6.66K","0.75%"
"Feb 01, 2015","14,740","14,600","15,010","14,570","7.71K","2.65%"
"Jan 25, 2015","14,360","14,100","14,650","14,000","3.64K","2.64%"
"Jan 18, 2015","13,990","14,880","14,890","13,970","8.90K","-6.11%"
"Jan 11, 2015","14,900","15,180","15,310","14,870","5.93K","-2.17%"
"Jan 04, 2015","15,230","15,650","15,740","15,130","6.51K","-2.56%"
"Dec 28, 2014","15,630","15,870","15,880","15,550","3.51K","-1.08%"
"Dec 21, 2014","15,800","15,830","15,910","15,730","4.23K","0.00%"
"Dec 14, 2014","15,800","16,050","16,180","15,780","5.59K","-1.25%"
"Dec 07, 2014","16,000","15,910","16,150","15,820","5.67K","0.95%"
"Nov 30, 2014","15,850","15,760","15,860","15,700","4.03K","1.54%"
"Nov 23, 2014","15,610","16,200","16,250","15,540","1.88K","-3.34%"
"Nov 16, 2014","16,150","15,860","16,190","15,800","3.40K","1.96%"
"Nov 09, 2014","15,840","15,910","16,150","15,740","4.19K","-0.38%"
"Nov 02, 2014","15,900","15,670","15,990","15,510","3.89K","-3.28%"
"Oct 26, 2014","16,440","16,200","16,700","15,900","1.12K","1.17%"
"Oct 19, 2014","16,250","16,160","16,380","16,000","1.41K","0.00%"
"Oct 12, 2014","16,250","16,700","16,700","16,160","1.75K","-1.87%"
"Oct 05, 2014","16,560","16,600","16,880","16,430","3.25K","0.30%"
"Sep 28, 2014","16,510","16,700","16,700","16,330","3.67K","-1.49%"
"Sep 21, 2014","16,760","17,110","17,150","16,700","5.97K","-2.56%"
"Sep 14, 2014","17,200","18,000","18,000","17,160","4.53K","-4.60%"
"Sep 07, 2014","18,030","17,720","18,290","17,620","4.83K","1.75%"
"Aug 31, 2014","17,720","18,050","18,050","17,570","4.33K","-1.39%"
"Aug 24, 2014","17,970","18,370","18,440","17,930","4.15K","-2.23%"
"Aug 17, 2014","18,380","18,290","18,700","18,130","5.29K","0.11%"
"Aug 10, 2014","18,360","18,220","18,510","17,960","5.52K","0.82%"
"Aug 03, 2014","18,210","17,620","18,290","17,550","6.66K","3.17%"
"Jul 27, 2014","17,650","18,280","19,050","17,250","3.58K","-3.02%"
"Jul 20, 2014","18,200","18,950","19,040","17,930","5.81K","-3.70%"
"Jul 13, 2014","18,900","19,070","19,610","18,840","7.11K","-0.68%"
"Jul 06, 2014","19,030","19,570","19,770","18,960","8.75K","-2.61%"
"Jun 29, 2014","19,540","19,960","20,290","19,270","8.42K","-1.61%"
"Jun 22, 2014","19,860","19,750","20,240","19,650","7.84K","0.40%"
"Jun 15, 2014","19,780","19,760","19,990","19,720","7.83K","0.66%"
"Jun 08, 2014","19,650","19,390","19,720","19,240","8.10K","1.55%"
"Jun 01, 2014","19,350","19,260","19,750","19,260","9.12K","-0.21%"
"May 25, 2014","19,390","19,410","19,720","18,710","4.92K","0.26%"
